PacketName,Size,CreateTime,EndTime,Duration,HopCount,SourceAddress
pk-host20-to-host18-#280,1500,+4e+07ns,+4.0448e+07ns,448000,4,1.0.0.21
pk-host6-to-host18-#252,1500,+4e+07ns,+4.046e+07ns,460000,4,1.0.0.7
pk-host4-to-host18-#249,1500,+4e+07ns,+4.046e+07ns,460000,4,1.0.0.5
pk-host26-to-host18-#292,1500,+4e+07ns,+4.046e+07ns,460000,4,1.0.0.27
pk-host2-to-host18-#245,1500,+4e+07ns,+4.0472e+07ns,472000,4,1.0.0.3
pk-host20-to-host18-#281,1500,+4e+07ns,+4.0472e+07ns,472000,4,1.0.0.21
pk-host10-to-host18-#260,1500,+4e+07ns,+4.0484e+07ns,484000,4,1.0.0.11
pk-host26-to-host18-#293,1500,+4e+07ns,+4.0484e+07ns,484000,4,1.0.0.27
pk-host6-to-host18-#253,1500,+4e+07ns,+4.0496e+07ns,496000,4,1.0.0.7
pk-host10-to-host18-#261,1500,+4e+07ns,+4.0508e+07ns,508000,4,1.0.0.11
pk-host1-to-host18-#242,1500,+4e+07ns,+4.056e+07ns,560000,5,1.0.0.2
pk-host25-to-host18-#290,1500,+4e+07ns,+4.056e+07ns,560000,5,1.0.0.26
pk-host5-to-host18-#250,1500,+4e+07ns,+4.0572e+07ns,572000,5,1.0.0.6
pk-host25-to-host18-#291,1500,+4e+07ns,+4.0572e+07ns,572000,5,1.0.0.26
pk-host1-to-host18-#243,1500,+4e+07ns,+4.0584e+07ns,584000,5,1.0.0.2
pk-host5-to-host18-#251,1500,+4e+07ns,+4.0596e+07ns,596000,5,1.0.0.6
pk-host0-to-host18-#240,1500,+4e+07ns,+4.0672e+07ns,672000,6,1.0.0.1
pk-host18-to-host0-#276,1500,+4e+07ns,+4.0672e+07ns,672000,6,1.0.0.19
pk-host0-to-host18-#241,1500,+4e+07ns,+4.0684e+07ns,684000,6,1.0.0.1
pk-host18-to-host0-#277,1500,+4e+07ns,+4.0684e+07ns,684000,6,1.0.0.19
pk-host13-to-host18-#326,1500,+5e+07ns,+5.0112e+07ns,112000,1,1.0.0.14
pk-host17-to-host18-#334,1500,+5e+07ns,+5.0112e+07ns,112000,1,1.0.0.18
